Input: 11100001 |Input 7bit: x1100001| tia_word_p: 0011111 | tia_word_n: 1100010 | Diff: -67
Input: 11100010 |Input 7bit: x1100010| tia_word_p: 0011101 | tia_word_n: 1100000 | Diff: -67
Input: 11100011 |Input 7bit: x1100011| tia_word_p: 0011101 | tia_word_n: 1100010 | Diff: -69
Input: 11100100 |Input 7bit: x1100100| tia_word_p: 0011011 | tia_word_n: 1100100 | Diff: -73
Input: 11100101 |Input 7bit: x1100101| tia_word_p: 0011011 | tia_word_n: 1100110 | Diff: -75
Input: 11100110 |Input 7bit: x1100110| tia_word_p: 0011001 | tia_word_n: 1100100 | Diff: -75
Input: 11100111 |Input 7bit: x1100111| tia_word_p: 0011001 | tia_word_n: 1100110 | Diff: -77
Input: 11101000 |Input 7bit: x1101000| tia_word_p: 0010111 | tia_word_n: 1101000 | Diff: -81
Input: 11101001 |Input 7bit: x1101001| tia_word_p: 0010111 | tia_word_n: 1101010 | Diff: -83
Input: 11101010 |Input 7bit: x1101010| tia_word_p: 0010101 | tia_word_n: 1101000 | Diff: -83
Input: 11101011 |Input 7bit: x1101011| tia_word_p: 0010101 | tia_word_n: 1101010 | Diff: -85
Input: 11101100 |Input 7bit: x1101100| tia_word_p: 0010011 | tia_word_n: 1101100 | Diff: -89
Input: 11101101 |Input 7bit: x1101101| tia_word_p: 0010011 | tia_word_n: 1101110 | Diff: -91
Input: 11101110 |Input 7bit: x1101110| tia_word_p: 0010001 | tia_word_n: 1101100 | Diff: -91
Input: 11101111 |Input 7bit: x1101111| tia_word_p: 0010001 | tia_word_n: 1101110 | Diff: -93
Input: 11110000 |Input 7bit: x1110000| tia_word_p: 0001111 | tia_word_n: 1110000 | Diff: -97
Input: 11110001 |Input 7bit: x1110001| tia_word_p: 0001111 | tia_word_n: 1110010 | Diff: -99
Input: 11110010 |Input 7bit: x1110010| tia_word_p: 0001101 | tia_word_n: 1110000 | Diff: -99
Input: 11110011 |Input 7bit: x1110011| tia_word_p: 0001101 | tia_word_n: 1110010 | Diff: -101
Input: 11110100 |Input 7bit: x1110100| tia_word_p: 0001011 | tia_word_n: 1110100 | Diff: -105
Input: 11110101 |Input 7bit: x1110101| tia_word_p: 0001011 | tia_word_n: 1110110 | Diff: -107
Input: 11110110 |Input 7bit: x1110110| tia_word_p: 0001001 | tia_word_n: 1110100 | Diff: -107
Input: 11110111 |Input 7bit: x1110111| tia_word_p: 0001001 | tia_word_n: 1110110 | Diff: -109
Input: 11111000 |Input 7bit: x1111000| tia_word_p: 0000111 | tia_word_n: 1111000 | Diff: -113
Input: 11111001 |Input 7bit: x1111001| tia_word_p: 0000111 | tia_word_n: 1111010 | Diff: -115
Input: 11111010 |Input 7bit: x1111010| tia_word_p: 0000101 | tia_word_n: 1111000 | Diff: -115
Input: 11111011 |Input 7bit: x1111011| tia_word_p: 0000101 | tia_word_n: 1111010 | Diff: -117
Input: 11111100 |Input 7bit: x1111100| tia_word_p: 0000011 | tia_word_n: 1111100 | Diff: -121
Input: 11111101 |Input 7bit: x1111101| tia_word_p: 0000011 | tia_word_n: 1111110 | Diff: -123
Input: 11111110 |Input 7bit: x1111110| tia_word_p: 0000001 | tia_word_n: 1111100 | Diff: -123
Input: 11111111 |Input 7bit: x1111111| tia_word_p: 0000001 | tia_word_n: 1111110 | Diff: -125
